Number   Section  Tests	T1	A1	A2	T2	A3	T3	A4	T4
-----------------------------------------------------------------------------------
635104	C	C	27	42	50	28	50	28	40	30
665400	C	C	25	40	50	24	46	28	40	29
815951	C	C	NW	41	43	20.5	28	25.5	45	NW
941020	C	C	NW	NW	NW	NW	NW	NW	NW	NW
955693	C	C	17.5	44	50	23	50	25	40	28
968910	C	C	24	42	48	27	46	25	44	25
996186	C	C	21.5	40	48	27	47	28	45	29
1018909	C	C	10	47	48	28	50	22	50	29
1020861	C	C	24	44	40	27	47	16	50	30
1022887	C	C	24	45	49	29	50	28	45	30
1030146	C	C	14	43	41	21.5	40	14	50	29
1046629	C	C	23	46	40	22	35	29.5	44	29
1064975	C	C	24	44	40	13	44	23	45	28
1114500	C	C	NW	NW	NW	NW	NW	NW	NW	NW
1156055	C	C	16	45	50	21	50	29	44	27
1180466	C	C	18	50	50	26	35	16	45	26
1196299	C	C	19	45	48	25	46	30	50	30
1218159	C	C	16	35	46	28	42	24	NW	28
1239243	C	C	27.5	36	37	24	45	27	45	28
1243979	C	C	17	35	50	EX	NW	26	43	29
1253912	C	C	23	35	24	23	33	26	47	28
1256893	C	C	18	49	40	26	48	22	46	NW
1266178	C	C	16	NW	39	24	45	21	NW	15
1266212	C	C	18	50	50	24	50	26	49	26
1266775	C	C	NW	NW	NW	NW	NW	NW	NW	NW
1269111	C	C	18	45	50	23	50	28	50	20
1304261	C	C	24.5	45	48	29	50	27	45	25
1313162	C	C	22.5	44.5	50	28	0	29	37	30
1339304	D	C	13	46	50	22	47	28	40	30
1344682	C	C	16.5	44	44	20.5	30	24	40	25
1345832	C	C	21	50	50	25	50	27	50	29
1379680	C	C	24.5	42	50	26	48	22	50	28
1389875	C	C	21	41	48	25.5	44	29	50	30
1417951	D	C	30	46	37	27	40	29	43	17
1443682	C	C	NW	45	47	EX	50	15	48	10
1449640	C	C	19	30	39	28	43	28	46	29
1497231	C	C	9	40	39	20	40	24	48	23
1498203	C	C	NW	NW	NW	NW	NW	NW	NW	NW
1500469	C	C	16	40	48	26	43	24	39	29
1511037	C	C	10	13.75	36	23.5	NW	26	40	29
1517941	C	C	24.5	44	46	25	40	26	46	17
1530436	C	C	18	50	45	24	50	21	40	28
1535627	C	C	25	47	43	27.5	44	26	40	26
1535958	C	C	27	43	50	28.5	48	28	40	30
1536555	C	C	20	40	45	24.5	37	25	46	30
1538526	C	C	18	5	50	23.5	48	26	43	28
1542101	C	C	13	43	44	22.5	39	22	50	20
1544467	C	C	19.5	40	40	11	43	21	49	28
1544626	C	C	17	0	NW	7	NW	NW	NW	NW
1545448	C	C	21	45	43	25	47	25	44	30
1548427	C	C	19	42	39	22	47	25	43	29
1551234	C	C	EX	43	41	19.5	35	EX	50	18
1553358	C	C	17	38	48	24	30	25	45	26
1558326	C	C	26	45	47	22	48	30	50	30
1561973	C	C	18	38	50	26	50	EX	46	28
1562026	C	C	15	36	40	19	EX	EX	35	23
1577617	C	C	14	42	49	27	41	21	41	NW
1579562	C	C	22	47	48	22	48	28	47	25
1584486	C	C	23.5	45	50	27	45	22	46	29
1628304	C	C	16.5	48	40	19	40	30	50	6
1672470	C	C	24	50	50	30	50	28	50	30
1695080	C	C	13	50	48	EX	45	24	45	28
1741360	C	C	17	NW	50	28.5	38	27	40	29
1743359	C	C	24	43	49	23.5	43	28	40	30
1743439	C	C	20	20	46	28	49	29	35	29
1750723	C	C	25	40	43	24.5	36	28	50	30
1755728	C	C	18	32	43	27	49	28	40	29
1756264	C	C	25	46	50	27.5	50	27	50	29
1769795	C	C	26	40	34	28	32	27	42	30
1773600	C	C	27.5	40	45	25	41	29	50	29
1775038	C	C	20	50	50	26	45	25	50	30
1775047	C	C	26	46	50	28	44	30	50	29
1782128	C	C	20	48	50	29	50	30	50	29
1792457	C	C	23	36	43	20	50	22	41	EX
1799478	C	C	NW	NW	NW	NW	NW	NW	NW	NW
1805862	C	C	21	45	50	30	46	29	50	25
1811793	C	C	NW	44	38	NW	10	NW	38	NW
1812890	C	C	25	36	50	25	NW	30	48	30
1813283	C	C	13	30	33	22	NW	NW	NW	NW
1838603	C	C	24.5	50	41	21	50	27	50	29
1840100	C	C	27	48	50	28	48	29	50	29
1841485	C	C	22.5	42	49	27	48	27	45	30
1852533	C	C	26	40	48	27	41	29	50	29
1854764	C	C	20	45	40	26.5	50	28	50	23
1841485	C	C	22.5	42	49	27	48	27	45	NW
Average:		20.4	41.2	45.2	24.5	43.3	25.8	45.3	26.9
Out Of:			30	50	50	30	50	30	50	30
(Section = Official Section, 
 Tests = Section Where You Take Tests)
