Number   Section  Tests	T1	A1	A2	T2	A3	T3	A4	T4
------------------------------------------------------------------------------------
428500	D	D	27	50	50	30	50	30	50	30
470133	D	D	28	45	48	26	50	27	50	30
504805	D	D	18	50	33	15	40	25	35	30
532944	D	D	NW	NW	NW	NW	NW	NW	NW	NW
544217	C	D	14	33	46	27.5	45	24	45	25
636910	D	D	NW	35	43	NW	50	17	45	10
1023109	D	D	22	NW	46	28	50	17	50	17
1102381	D	D	23	44	43	18	40	20	40	19.5
1113173	D	D	20.5	48	45	8	50	17	50	21.5
1293460	D	D	17.5	50	50	18	50	25	50	29
1293638	D	D	18	36	10	11	50	27	45	27
1299026	C	D	19	30	48	26	35	21	43	27
1439713	C	D	15.5	43	50	19	41	21	46	17
1448927	C	D	19	50	46	14	38	17	40	23
1454465	D	D	26	50	45	27	50	28	50	30
1494341	D	D	29	47	36	28	50	25	50	28
1498025	D	D	NW	38	50	21	37	25	37	11
1510804	D	D	19.5	41.5	45	20	42	20	40	29
1512125	D	D	26	48	NW	18	50	20	48	24.5
1512679	D	D	26	50	50	18	50	22	50	30
1520802	D	D	12.5	26	47	16	40	22	46	21
1525567	D	D	13	40	48	7	NW	19	40	23.5
1527011	D	D	19	50	48	19	50	20	45	14
1537395	D	D	23.5	30	50	25	44	28	50	30
1538161	D	D	24	48	46	27	50	27	48	30
1543137	D	D	20	35	40	21	40	21	50	19.5
1552787	C	D	19.5	35	50	17	50	22	48	
1557997	D	D	14	NW	46	NW	50	0	50	NW
1562561	D	D	24.5	50	50	20	40	26	50	30
1564809	D	D	20	45	50	15	50	13.5	47	12
1570124	D	D	16	39	35	14	NW	29	45	30
1570302	D	D	23	NW	NW	NW	NW	NW	NW	NW
1596856	C	D	20	35	8	24	44	24	34	25.5
1600798	D	D	27	43	40	28	50	16	45	28.5
1609174	D	D	27	50	40	25	45	23	45	28.5
1616077	D	D	16	50	40	25	45	18	45	30
1630211	D	D	21	50	43	15	50	16	40	21
1654622	D	D	29	50	44	30	50	30	40	30
1708307	D	D	NW	NW	NW	NW	NW	NW	NW	NW
1727466	D	D	24.5	NW	49	20	NW	27	45	30
1733137	D	D	20.5	47	50	19	NW	NW	NW	NW
1738579	D	D	18	38	38	18	20	29	40	30
1742706	D	D	21	50	45	30	50	23	46	30
1743894	D	D	24	49.5	45	18	50	21	37	29.5
1748185	D	D	21	28	40	22	40	25	NW	28.5
1750581	D	D	25	38	48	28	50	19	46	30
1766164	D	D	22	42	50	30	50	28	45	30
1770462	D	D	19	50	40	13	50	24	48	15
1772282	D	D	21.5	50	45	21	50	28	50	30
1772843	D	D	23	43	43	16	35	25	42	26
1778678	D	D	20.5	20	48	16	50	25	39	21
1780077	D	D	19.5	37	50	14	40	28	50	26.5
1780629	D	D	21	48	42	7	50	28.5	45	30
1783939	D	D	NW	NW	NW	NW	NW	NW	NW	NW
1787613	D	D	22	31	47	25	50	26	43	23.5
1795481	D	D	24	50	48	30	40	29	43	30
1800288	D	D	16	47	45	11	50	21	NW	10
1806718	D	D	30	50	47	27	50	27	50	30
1810847	D	D	26	50	45	30	45	21	45	25
1814861	D	D	21	45	46	20	50	29	45	29
1819287	D	D	24	36	45	28	39	29	50	19
1823753	D	D	28	46	49	24	50	30	48	22.5
1831780	D	D	28	48	50	27	50	26	50	28
1834251	D	D	17.5	EX	50	14	50	13.5	50	27
1834849	D	D	22	48	40	26	50	26.5	45	27
1834965	D	D	25	48	48	20	39	24	47	30
1844758	D	D	NW	NW	NW	NW	NW	NW	NW	NW
1849691	D	D	30	50	50	26	50	29	50	30
1852052	D	D	27	48	46	24	50	29	48	30
1854256	D	D	24.5	NW	50	25	50	24	50	30
1938791	D	D	27	31	NW	NW	NW	17	NW	29
										
Average:			22.0	43.2	45.0	21.1	46.0	23.2	45.5	25.5
Out Of:			30	50	50	30	50	30	50	30
(Section = Official Section, 
 Tests = Section Where You Take Tests)
