StudNumb MidTerm
428500	100
453112	100
516876	55
528340	85
602404	80
635104	55
638083	60
658382	
672715	45
673125	90
730873	55
760162	70
785289	70
837679	75
1002382	90
1007984	20
1042062	75
1052210	75
1070897	80
1073242	75
1091302	40
1109419	40
1110041	
1112263	
1231544	80
1243700	80
1257240	65
1264232	45
1269111	80
1274347	55
1280642	90
1285380	80
1292522	70
1293638	30
1295636	
1296396	60
1310432	60
1319594	80
1321670	85
1374916	45
1379680	
1389875	55
1402342	75
1433791	95
1435913	85
1439713	60
1448927	60
1453803	80
1459120	35
1481293	40
1483656	50
1486939	60
1496161	70
1497801	60
1497856	80
1498016	75
1498686	
1500557	45
1501011	90
1511037	65
1511082	75
1512679	55
1518085	95
1519093	35
1519191	80
1521605	70
1526012	65
1531480	75
1533852	70
1535351	
1536555	55
1538526	70
1539071	50
1539179	35
1540443	80
1542101	70
1542806	60
1545448	75
1545992	35
1546241	90
1546884	95
1548043	50
1551234	55
1557835	80
1570785	65
1572239	70
1581274	90
1591824	50
1604758	65
1607755	80
1609174	
1609600	60
1619163	60
1623675	
1626280	100
1630211	
1637152	80
1667921	45
1677215	55
1707674	85
1753757	50
1773600	80
1782128	85
1792457	30
1810847	
1811793	65
1812890	85
1842028	45
1848273	80
1849691	95
1865397	55
1867484	70
1871111	35
1879159	75
1880815	55
1881654	70
1896657	65
1930316	95
1940341	45
2100372	65
2103841	95
2112181	90
2136236	95
2171919	90
2400057	70
2408932	80
2409398	

	67.91304348


